2 3 8000
 +9.310 +48.289 C
+13.364 +49.943 C
 +2.301 +75.125 B
 +2.559 +64.875 A
 -0.344 +33.437 C
 +1.420 +46.293 A
 -1.184 +57.318 A
+15.871 +45.670 C
 +5.326 +70.955 B
 +0.466 +55.903 A
 -7.766 +48.823 C
 -3.581 +76.452 C
 -2.226 +55.933 A
+14.874 +46.033 C
+15.063 +57.382 B
 -3.000 +51.103 A
 -4.987 +57.127 C
 -0.565 +47.931 A
 -0.880 +80.893 C
 +1.657 +71.614 B
 -6.966 +48.834 C
 -6.850 +56.845 C
 -1.637 +62.724 A
 +1.203 +75.145 B
+15.972 +68.133 B
 -6.570 +60.928 C
 +9.170 +56.113 B
 -8.486 +31.507 C
+12.363 +75.452 B
 -5.630 +62.266 C
 +3.816 +57.710 B
 +7.815 +51.919 B
 +8.437 +45.768 C
 -5.535 +38.382 C
+16.993 +67.800 C
 +2.973 +85.458 C
 -6.493 +68.287 C
+13.910 +85.483 C
+12.717 +86.476 C
 -3.986 +60.806 C
 -1.817 +48.522 A
 -4.489 +39.027 C
 +5.163 +42.524 C
 +6.426 +62.986 B
 +8.909 +50.326 B
 +3.361 +33.647 C
 -8.442 +57.105 C
+13.328 +68.122 B
 -3.413 +56.953 A
 +7.078 +52.459 B
 +3.059 +79.642 B
 -8.066 +52.555 C
 +1.933 +62.060 A
 -2.820 +47.831 A
 -6.357 +49.181 C
 +0.119 +59.647 A
+14.408 +78.440 B
+11.435 +44.065 C
+15.934 +47.758 C
 +6.398 +78.048 B
 -8.318 +49.650 C
 +4.959 +40.567 C
 -2.991 +38.924 A
+12.322 +75.431 B
 +9.334 +78.247 B
+10.148 +87.719 C
+15.016 +55.643 B
 +2.635 +68.660 B
+15.501 +81.793 B
 +2.660 +73.682 B
+10.854 +56.919 B
 -7.597 +43.626 C
 -8.703 +32.119 C
 +0.640 +64.062 A
 -7.317 +62.056 C
 +0.341 +39.965 A
+17.366 +52.910 C
 -1.595 +64.000 A
 -3.932 +45.875 A
 +8.182 +68.381 B
 -7.622 +35.942 C
 -8.132 +52.887 C
 +0.896 +65.102 A
 +3.094 +65.753 B
 +0.390 +48.270 A
+19.616 +87.035 C
 +7.389 +48.202 C
 +2.645 +64.954 A
 -8.826 +31.479 C
 +3.880 +57.124 B
 +4.478 +34.449 C
+14.499 +67.962 B
 +1.098 +82.218 C
+17.482 +64.142 C
 +2.878 +40.389 C
